"code","count"
"TS1434","673"
"TS1005","440"
"TS1435","93"
"TS1003","86"
"TS1127","66"
"TS1109","51"
"TS1443","42"
"TS1002","12"
"TS1228","12"
"TS17006","4"
"TS1146","3"
"TS2427","2"
"TS1351","1"
"TS2457","1"
"TS1128","1"
"TS1359","1"
"TS2657","1"
