"TS","Count"
"1434","673"
"1005","440"
"1435","93"
"1003","86"
"1127","66"
"1109","51"
"1443","42"
"1002","12"
"1228","12"
"1700","4"
"1146","3"
"2427","2"
"1351","1"
"2457","1"
"1128","1"
"1359","1"
"2657","1"
